Time, Value
0,02,0
0,04,0
0,0795126,0
0,1044053,0
0,111406,0
0,1264422,0
0,1408191,0
0,1545862,0
0,1690848,0
0,182269,0
0,1962287,0
0,2100144,0
0,2249167,0
0,238082,0
0,2515873,0
0,2655685,0
0,279728,0
0,2932318,0
0,3071381,0
0,3210594,0
0,3350009,0
0,3486194,0
0,3625503,0
0,3763593,0
0,3901826,0
0,404237,0
0,4181236,0
0,4319371,0
0,4459973,0
0,4600545,0
0,4741643,0
0,4876362,0
0,501972,0
0,5158796,0
0,5296353,0
0,5437703,0
0,5577517,0
0,5715114,0
0,5856256,0
0,5996079,0
0,6136229,0
0,6276166,0
0,6414572,0
0,655393,0
0,6691746,0
0,6832802,0
0,6971295,0
0,7109469,0
0,7253181,0
0,7393506,0
0,7531421,0
0,7671949,0
0,7812856,0
0,795148,0
0,8089801,0
0,8288303,0
0,8370773,0
0,8503323,0
0,8643408,0
0,8782657,0
0,8920463,0
0,9062135,0
0,920151,0
0,9342536,0
0,9480153,0
0,962048,0
0,976002,0
0,9897658,0
1,00399,0
1,01801,0
1,031601,0
1,045671,0
1,059646,0
1,07338,0
1,087587,0
1,101467,0
1,115452,0
1,129142,0
1,143335,0
1,156753,0
1,170537,0
1,184636,0
1,198639,0
1,212389,0
1,22639,0
1,240455,0
1,254267,0
1,268038,0
1,282108,0
1,296165,0
1,309912,0
1,32399,0
1,33792,0
1,351732,0
1,365644,0
1,379584,0
1,393638,0
1,40788,0
1,421385,0
1,435323,0
1,449068,0
1,463247,0
1,477115,0
1,490907,0
1,504919,0
1,518916,0
1,532784,0
1,546846,0
1,560709,0
1,574722,0
1,588378,0
1,602723,0
1,616467,0
1,630096,0
1,644248,0
1,658184,0
1,671939,0
1,686067,0
1,700124,0
1,713888,0
1,727653,0
1,741804,0
1,755803,0
1,769518,0
1,783596,0
1,797442,0
1,811273,0
1,825339,0
1,839467,0
1,853096,0
1,867226,0
1,881019,0
1,894954,0
1,908775,0
1,922902,0
1,936816,0
1,950617,0
1,964606,0
1,978571,0
1,992389,0
2,006498,0
2,020369,0
2,03437,0
2,047996,0
2,062135,0
2,076088,0
2,089782,0
2,103914,0
2,117817,0
2,131552,0
2,14573,0
2,159739,0
2,173379,0
2,18745,0
2,201614,0
2,215321,0
2,229039,0
2,243107,0
2,257285,0
2,270935,0
2,284997,0
2,298908,0
2,312792,0
2,326812,0
2,340748,0
2,354597,0
2,368425,0
2,382506,0
2,396458,0
2,410215,0
2,424309,0
2,438177,0
2,451938,0
2,466092,0
2,480008,0
2,49398,0
2,507669,0
2,521809,0
2,535708,0
2,549369,0
2,563473,0
2,577373,0
2,591179,0
2,605245,0
2,619303,0
2,633043,0
2,646957,0
2,66089,0
2,674877,0
2,688597,0
2,70272,0
2,716643,0
2,73038,0
2,744567,0
2,758525,0
2,772311,0
2,786259,0
2,800242,0
2,814171,0
2,827926,0
2,842026,0
2,856357,0
2,869767,0
2,883818,0
2,897665,0
2,911496,0
2,925672,0
2,939489,0
2,953227,0
2,967353,0
2,981315,0
2,995263,0
3,009002,0
3,023126,0
3,036993,0
3,050787,0
3,064871,0
3,078893,0
3,092656,0
3,10667,0
3,120754,0
3,134585,0
3,148309,0
3,162318,0
3,176342,0
3,190042,0
3,20417,0
3,21807,0
3,23193,0
3,245922,0
3,25993,0
3,27373,0
3,28789,0
3,30174,0
3,315692,0
3,329401,0
3,343503,0
3,357429,0
3,371134,0
3,385286,0
3,399224,0
3,412927,0
3,42707,0
3,440965,0
3,454867,0
3,46873,0
3,482858,0
3,496703,0
3,510459,0
3,524622,0
3,538498,0
3,552395,0
3,566404,0
3,580278,0
3,594192,0
3,607943,0
3,622001,0
3,635965,0
3,649765,0
3,663912,0
3,677861,0
3,691666,0
3,705558,0
3,719548,0
3,733422,0
3,747393,0
3,76137,0
3,775373,0
3,789019,0
3,80316,0
3,817121,0
3,830865,0
3,845052,0
3,858857,0
3,872925,0
3,886781,0
3,900662,0
