Login de power
Tiempo: 62,06405 Valores: pow data: 1717202087,8663|1,497|0,747|0,259|0,432|0,259|4,064|1,765|1,079|0,962|0,696|1,273|0,446|0,245|0,31|0,184|1,204|0,491|0,245|0,53|0,399|0,677|0,136|0,396|0,263|0,567|2,479|0,874|0,236|0,09|0,062|1,433|0,763|0,304|0,062|0,07|0,568|0,233|0,121|0,184|0,11|0,487|0,208|0,183|0,122|0,071|0,964|0,373|0,794|0,787|0,627|1,691|0,656|0,687|0,432|0,275|0,832|0,257|0,208|0,146|0,116|2,908|2,514|1,503|0,813|0,637|12,96|4,675|3,14|2,046|1,568|
Tiempo: 62,17487 Valores: pow data: 1717202087,9911|1,409|0,598|0,24|0,404|0,233|4,18|1,591|1,202|0,854|0,644|1,2|0,308|0,222|0,29|0,172|1,182|0,465|0,256|0,511|0,378|0,751|0,157|0,34|0,292|0,531|1,945|0,452|0,165|0,079|0,055|1,118|0,599|0,275|0,056|0,069|0,527|0,2|0,098|0,167|0,091|0,385|0,157|0,122|0,117|0,066|0,756|0,375|0,831|0,69|0,584|1,474|0,607|0,643|0,504|0,265|0,66|0,206|0,146|0,148|0,114|2,236|2,111|1,332|0,873|0,598|9,759|3,635|2,637|1,791|1,332|
Tiempo: 62,31468 Valores: pow data: 1717202088,1161|1,38|0,454|0,245|0,353|0,208|3,977|1,342|1,298|0,735|0,572|1,207|0,214|0,222|0,269|0,16|1,111|0,413|0,269|0,486|0,344|0,855|0,175|0,301|0,341|0,466|1,672|0,305|0,117|0,084|0,058|0,788|0,438|0,234|0,054|0,067|0,458|0,166|0,081|0,142|0,069|0,298|0,114|0,089|0,108|0,063|0,563|0,388|0,832|0,587|0,526|1,306|0,545|0,568|0,558|0,251|0,508|0,158|0,103|0,15|0,111|1,721|1,637|1,082|0,905|0,528|6,435|2,515|1,97|1,393|0,983|
Tiempo: 62,44122 Valores: pow data: 1717202088,2414|1,404|0,349|0,285|0,295|0,186|3,51|1,069|1,332|0,639|0,503|1,254|0,176|0,244|0,248|0,147|0,989|0,35|0,277|0,461|0,303|0,995|0,195|0,302|0,402|0,384|1,097|0,253|0,084|0,099|0,061|0,673|0,296|0,18|0,05|0,063|0,354|0,136|0,069|0,118|0,051|0,236|0,089|0,072|0,097|0,063|0,45|0,424|0,798|0,504|0,469|1,233|0,495|0,474|0,577|0,235|0,383|0,123|0,078|0,147|0,108|1,452|1,202|0,806|0,895|0,444|3,64|1,508|1,269|0,952|0,625|
Tiempo: 62,56474 Valores: pow data: 1717202088,3661|1,515|0,307|0,361|0,244|0,166|2,961|0,837|1,284|0,584|0,457|1,346|0,185|0,276|0,232|0,134|0,855|0,299|0,274|0,442|0,264|1,107|0,219|0,357|0,461|0,3|0,905|0,251|0,074|0,116|0,063|0,532|0,189|0,13|0,045|0,057|0,281|0,113|0,06|0,103|0,041|0,221|0,083|0,066|0,091|0,068|0,503|0,497|0,742|0,453|0,42|1,411|0,483|0,379|0,558|0,219|0,343|0,11|0,068|0,14|0,104|1,479|0,905|0,57|0,858|0,366|1,877|0,775|0,688|0,572|0,346|
Tiempo: 62,6899 Valores: pow data: 1717202088,491|1,767|0,334|0,462|0,209|0,148|2,516|0,676|1,155|0,565|0,442|1,502|0,237|0,307|0,223|0,122|0,741|0,278|0,259|0,434|0,236|1,238|0,242|0,459|0,501|0,23|0,635|0,271|0,072|0,127|0,061|0,474|0,125|0,094|0,04|0,05|0,255|0,101|0,054|0,102|0,04|0,264|0,094|0,063|0,093|0,076|0,773|0,601|0,677|0,431|0,386|1,884|0,528|0,294|0,513|0,203|0,403|0,122|0,069|0,131|0,1|1,806|0,797|0,417|0,822|0,311|1,174|0,404|0,351|0,321|0,18|
Tiempo: 62,81523 Valores: pow data: 1717202088,6163|2,16|0,413|0,571|0,192|0,132|2,421|0,645|0,974|0,572|0,462|1,737|0,323|0,341|0,221|0,113|0,681|0,296|0,239|0,437|0,224|1,347|0,258|0,589|0,516|0,184|0,54|0,297|0,08|0,126|0,057|0,419|0,104|0,08|0,036|0,045|0,321|0,102|0,05|0,111|0,046|0,373|0,12|0,062|0,102|0,082|1,217|0,714|0,62|0,43|0,367|2,616|0,628|0,234|0,462|0,193|0,57|0,159|0,086|0,127|0,096|2,758|0,857|0,395|0,816|0,285|4,268|0,555|0,775|0,262|0,127|
Tiempo: 62,94064 Valores: pow data: 1717202088,7413|2,654|0,526|0,67|0,191|0,121|2,841|0,826|0,795|0,59|0,523|2,03|0,433|0,376|0,225|0,109|0,7|0,35|0,22|0,443|0,231|1,473|0,257|0,734|0,512|0,161|0,56|0,309|0,084|0,113|0,053|0,38|0,118|0,089|0,035|0,043|0,469|0,12|0,055|0,124|0,056|0,547|0,16|0,067|0,114|0,087|1,757|0,814|0,59|0,443|0,36|3,475|0,767|0,208|0,422|0,192|0,816|0,229|0,126|0,13|0,095|5,683|1,09|0,594|0,868|0,289|20,361|1,827|3,407|0,599|0,216|
Tiempo: 63,06421 Valores: pow data: 1717202088,8664|3,126|0,651|0,741|0,201|0,116|3,98|1,274|0,681|0,614|0,622|2,313|0,548|0,405|0,232|0,115|0,804|0,421|0,207|0,44|0,255|1,628|0,24|0,886|0,505|0,159|0,494|0,297|0,092|0,093|0,05|0,351|0,155|0,115|0,039|0,045|0,69|0,161|0,074|0,136|0,068|0,782|0,209|0,077|0,128|0,096|2,312|0,887|0,599|0,465|0,363|4,24|0,91|0,212|0,399|0,203|1,094|0,351|0,194|0,141|0,096|12,083|1,479|1,11|0,989|0,319|59,65|5,22|9,907|1,579|0,508|
Tiempo: 63,19093 Valores: pow data: 1717202088,992|3,504|0,773|0,766|0,218|0,12|5,947|1,972|0,658|0,642|0,746|2,529|0,649|0,414|0,241|0,127|1,014|0,497|0,2|0,421|0,292|1,812|0,22|1,033|0,51|0,173|0,724|0,265|0,103|0,075|0,05|0,343|0,209|0,147|0,047|0,05|0,954|0,229|0,113|0,14|0,081|1,066|0,264|0,093|0,142|0,119|2,789|0,927|0,647|0,494|0,373|4,721|1,019|0,235|0,387|0,228|1,375|0,533|0,282|0,158|0,103|22,338|1,945|1,957|1,166|0,365|125,227|11,343|20,638|3,293|1,039|
Tiempo: 63,30293 Valores: pow data: 1717202089,1169|3,67|0,869|0,737|0,236|0,133|8,648|2,792|0,705|0,661|0,866|2,59|0,72|0,394|0,249|0,14|1,303|0,565|0,195|0,38|0,334|1,953|0,215|1,154|0,537|0,204|0,921|0,226|0,123|0,063|0,051|0,391|0,277|0,181|0,058|0,055|1,219|0,32|0,164|0,137|0,096|1,357|0,316|0,112|0,157|0,161|3,104|0,932|0,734|0,533|0,39|4,755|1,067|0,277|0,38|0,261|1,638|0,752|0,374|0,175|0,114|34,435|2,366|3,007|1,351|0,415|205,726|19,678|33,75|5,492|1,732|
Tiempo: 63,41338 Valores: pow data: 1717202089,2417|3,676|0,926|0,66|0,25|0,152|11,61|3,509|0,77|0,663|0,953|2,526|0,752|0,348|0,251|0,145|1,628|0,619|0,189|0,323|0,372|2,012|0,236|1,219|0,576|0,245|1,411|0,193|0,15|0,06|0,053|0,456|0,353|0,214|0,07|0,06|1,438|0,415|0,215|0,129|0,112|1,596|0,354|0,129|0,172|0,218|3,205|0,904|0,837|0,583|0,411|4,413|1,045|0,331|0,376|0,293|1,873|0,956|0,441|0,189|0,126|45,298|2,612|3,996|1,477|0,457|280,677|28,328|45,64|7,652|2,416|
Tiempo: 63,52396 Valores: pow data: 1717202089,3658|3,563|0,94|0,552|0,26|0,173|14,086|3,932|0,798|0,658|0,993|2,38|0,745|0,284|0,248|0,141|1,918|0,657|0,183|0,269|0,395|1,955|0,285|1,203|0,609|0,289|1,834|0,175|0,18|0,065|0,054|0,552|0,43|0,242|0,082|0,061|1,575|0,489|0,247|0,123|0,127|1,721|0,371|0,137|0,188|0,273|3,065|0,857|0,92|0,644|0,432|3,856|0,963|0,392|0,387|0,318|2,066|1,083|0,463|0,203|0,135|51,325|2,627|4,648|1,512|0,479|324,564|34,843|52,646|9,202|2,889|
