Login de power
Tiempo: 43,74922 Valores: pow data: 1718407161,4732|0,948|2,188|1,074|1,595|4,557|1,068|2,006|0,81|1,084|3,674|1,663|2,781|1,03|1,382|4,252|0,71|1,136|0,423|0,756|2,255|1,347|3,043|2,246|8,442|14,983|0,049|0,07|0,077|0,043|0,098|1,016|1,988|1,417|1,21|4,472|1,379|1,527|1,126|1,328|4,727|0,318|0,691|0,248|0,446|1,223|1,725|3,249|4,401|3,252|6,275|1,893|2,802|1,499|2,088|5,687|1,707|2,946|0,925|1,238|4,096|1,06|3,139|1,303|1,664|5,695|1,507|2,831|1,554|2,427|5,949|
Tiempo: 43,87637 Valores: pow data: 1718407161,5971|1,206|2,162|1,046|1,995|4,704|1,296|2,101|0,878|1,343|3,73|1,851|2,87|1,076|1,681|4,258|0,842|1,231|0,512|0,87|2,27|1,409|3,192|2,014|8,55|14,211|0,048|0,078|0,096|0,052|0,112|1,324|2,147|1,317|1,584|4,547|1,66|1,612|1,045|1,633|4,856|0,349|0,723|0,241|0,5|1,206|1,937|3,26|3,899|4,002|6,311|2,185|2,843|1,468|2,255|5,789|1,681|2,813|0,924|1,414|4,264|1,171|3,028|1,338|2,064|5,819|1,789|2,803|1,461|2,488|6,02|
Tiempo: 43,98808 Valores: pow data: 1718407161,721|1,408|1,991|0,999|2,506|4,988|1,442|2,045|0,919|1,681|3,885|1,926|2,694|1,078|2,062|4,4|0,909|1,247|0,568|1,008|2,327|1,441|3,054|1,8|8,856|13,719|0,045|0,081|0,111|0,063|0,125|1,522|2,093|1,166|2,069|4,78|1,802|1,553|0,93|2,017|5,11|0,352|0,689|0,23|0,577|1,222|2,144|3,216|3,201|4,973|6,631|2,303|2,688|1,369|2,535|6,033|1,621|2,505|0,869|1,651|4,575|1,281|2,728|1,347|2,658|6,071|1,942|2,564|1,316|2,594|6,318|
Tiempo: 44,11395 Valores: pow data: 1718407161,845|1,51|1,757|0,974|3,039|5,34|1,478|1,872|0,941|2,06|4,117|1,864|2,327|1,071|2,471|4,651|0,892|1,185|0,577|1,165|2,424|1,412|2,676|1,656|9,087|13,384|0,04|0,077|0,116|0,075|0,134|1,547|1,857|1,045|2,575|5,104|1,761|1,398|0,859|2,409|5,407|0,327|0,606|0,227|0,673|1,263|2,248|3,136|2,561|5,97|7,171|2,233|2,439|1,294|2,931|6,325|1,531|2,12|0,803|1,95|4,94|1,398|2,376|1,413|3,385|6,37|1,95|2,236|1,215|2,776|6,723|
Tiempo: 44,2533 Valores: pow data: 1718407161,9688|1,505|1,53|0,981|3,493|5,63|1,419|1,639|0,95|2,442|4,339|1,687|1,879|1,084|2,853|4,912|0,803|1,065|0,537|1,328|2,525|1,342|2,186|1,607|8,974|12,98|0,034|0,067|0,11|0,084|0,138|1,395|1,53|1|3,007|5,383|1,564|1,226|0,889|2,738|5,616|0,282|0,509|0,238|0,774|1,303|2,208|3,037|2,145|6,772|7,727|2,025|2,21|1,329|3,413|6,517|1,441|1,739|0,772|2,29|5,222|1,529|2,103|1,602|4,146|6,584|1,888|1,941|1,238|3,05|7,048|
Tiempo: 44,36591 Valores: pow data: 1718407162,0927|1,41|1,333|0,985|3,779|5,709|1,308|1,402|0,935|2,784|4,429|1,439|1,448|1,11|3,143|5,048|0,668|0,91|0,458|1,471|2,571|1,261|1,738|1,61|8,454|12,336|0,029|0,054|0,097|0,091|0,135|1,133|1,215|1,017|3,281|5,469|1,295|1,104|1,011|2,94|5,607|0,232|0,429|0,261|0,859|1,311|2,086|2,925|1,981|7,204|8,05|1,765|2,071|1,476|3,886|6,467|1,366|1,406|0,78|2,614|5,292|1,705|1,979|1,894|4,799|6,576|1,876|1,737|1,376|3,38|7,113|
Tiempo: 44,50469 Valores: pow data: 1718407162,2166|1,289|1,15|0,944|3,855|5,514|1,204|1,195|0,884|3,035|4,321|1,194|1,088|1,118|3,292|4,97|0,532|0,746|0,362|1,563|2,521|1,215|1,441|1,602|7,733|11,58|0,026|0,044|0,08|0,092|0,126|0,858|0,983|1,044|3,358|5,298|1,053|1,055|1,156|2,986|5,342|0,187|0,382|0,283|0,905|1,271|1,969|2,79|1,993|7,185|8,027|1,533|2,019|1,655|4,22|6,131|1,352|1,128|0,797|2,837|5,102|1,912|1,983|2,202|5,186|6,303|1,967|1,6|1,551|3,695|6,863|
Tiempo: 44,61774 Valores: pow data: 1718407162,3405|1,177|0,958|0,841|3,752|5,142|1,141|1,022|0,8|3,156|4,074|0,985|0,806|1,074|3,29|4,717|0,425|0,59|0,267|1,583|2,39|1,206|1,314|1,591|7,22|11,136|0,025|0,036|0,063|0,089|0,115|0,65|0,842|1,03|3,261|4,964|0,903|1,048|1,241|2,894|4,931|0,155|0,364|0,292|0,901|1,197|1,913|2,594|2,074|6,757|7,827|1,393|1,994|1,764|4,317|5,613|1,541|0,922|0,794|2,893|4,734|2,111|2,031|2,415|5,21|5,888|2,186|1,463|1,661|3,92|6,422|
Tiempo: 44,74257 Valores: pow data: 1718407162,4644|1,089|0,756|0,7|3,545|4,808|1,11|0,877|0,71|3,134|3,859|0,826|0,592|0,977|3,168|4,45|0,356|0,452|0,192|1,536|2,253|1,224|1,294|1,705|7,402|11,566|0,026|0,032|0,05|0,08|0,104|0,533|0,758|0,962|3,062|4,682|0,848|1,029|1,23|2,722|4,603|0,135|0,365|0,282|0,851|1,127|1,926|2,3|2,163|6,089|7,829|1,32|1,931|1,748|4,167|5,122|2,107|0,826|0,774|2,766|4,355|2,222|2,022|2,484|4,894|5,579|2,365|1,279|1,649|4,009|6,029|
Tiempo: 44,88283 Valores: pow data: 1718407162,5885|0,998|0,568|0,568|3,314|4,719|1,073|0,745|0,656|2,992|3,852|0,681|0,439|0,855|2,979|4,353|0,312|0,339|0,15|1,445|2,194|1,285|1,308|2,143|8,705|13,249|0,029|0,03|0,041|0,069|0,097|0,493|0,686|0,86|2,862|4,66|0,856|0,955|1,138|2,556|4,565|0,126|0,369|0,258|0,774|1,099|1,948|1,901|2,265|5,403|8,358|1,304|1,806|1,623|3,841|4,859|3,043|0,867|0,758|2,499|4,131|2,228|1,913|2,429|4,375|5,595|2,439|1,058|1,514|3,951|5,889|
Tiempo: 45,00705 Valores: pow data: 1718407162,7123|0,897|0,432|0,472|3,113|4,95|1,015|0,624|0,655|2,788|4,117|0,541|0,358|0,741|2,78|4,51|0,284|0,254|0,143|1,344|2,255|1,299|1,316|2,984|11,168|16,112|0,039|0,028|0,037|0,058|0,097|0,496|0,614|0,761|2,757|4,968|0,9|0,826|1,007|2,471|4,88|0,13|0,368|0,225|0,695|1,127|1,92|1,443|2,378|4,91|9,434|1,342|1,649|1,444|3,468|4,904|4,132|1,039|0,769|2,182|4,13|2,152|1,71|2,306|3,859|5,988|2,312|0,861|1,288|3,778|6,057|
Tiempo: 45,13331 Valores: pow data: 1718407162,8362|0,795|0,382|0,43|2,946|5,396|0,944|0,517|0,698|2,589|4,567|0,421|0,38|0,665|2,606|4,858|0,274|0,201|0,166|1,266|2,408|1,37|1,339|4,107|14,259|19,783|0,062|0,026|0,039|0,049|0,103|0,529|0,569|0,71|2,788|5,496|0,974|0,685|0,885|2,491|5,425|0,156|0,362|0,193|0,632|1,198|1,836|1,013|2,503|4,694|10,734|1,464|1,523|1,275|3,171|5,183|5,026|1,292|0,82|1,909|4,306|2,083|1,463|2,153|3,519|6,602|2,08|0,756|1,029|3,537|6,41|
Tiempo: 45,25869 Valores: pow data: 1718407162,9606|0,74|0,419|0,472|2,794|5,868|0,904|0,432|0,784|2,45|5,026|0,373|0,507|0,67|2,466|5,247|0,3|0,177|0,218|1,232|2,579|1,366|1,469|5,241|17,138|23,875|0,108|0,028|0,048|0,045|0,113|0,593|0,585|0,759|2,934|6,053|1,085|0,582|0,833|2,582|5,995|0,217|0,352|0,173|0,591|1,284|1,736|0,705|2,685|4,718|11,816|1,757|1,457|1,165|3,009|5,555|5,426|1,535|0,916|1,744|4,559|2,102|1,247|1,989|3,421|7,2|1,876|0,76|0,831|3,281|6,767|
Tiempo: 45,38392 Valores: pow data: 1718407163,0844|0,761|0,525|0,625|2,652|6,227|0,936|0,372|0,915|2,399|5,353|0,404|0,711|0,784|2,366|5,556|0,368|0,175|0,299|1,251|2,704|1,421|1,763|6,087|19,112|28,389|0,177|0,037|0,061|0,046|0,124|0,684|0,668|0,941|3,132|6,504|1,215|0,545|0,885|2,681|6,438|0,31|0,341|0,172|0,569|1,364|1,658|0,586|2,965|4,891|12,395|2,135|1,439|1,127|2,983|5,911|5,197|1,675|1,043|1,71|4,822|2,372|1,266|1,87|3,55|7,616|1,796|0,858|0,791|3,068|7,023|
Tiempo: 45,51009 Valores: pow data: 1718407163,2094|0,863|0,695|0,874|2,539|6,454|1,03|0,342|1,083|2,426|5,501|0,516|0,955|0,989|2,304|5,763|0,469|0,191|0,398|1,314|2,764|1,416|2,21|6,566|19,863|33,867|0,265|0,054|0,076|0,05|0,135|0,785|0,792|1,222|3,286|6,842|1,341|0,573|1,016|2,718|6,726|0,42|0,337|0,187|0,557|1,434|1,644|0,676|3,307|5,081|12,488|2,566|1,45|1,137|3,045|6,23|4,424|1,675|1,157|1,781|5,09|3,276|1,842|1,915|3,837|7,839|1,851|1,041|0,94|2,941|7,202|
Tiempo: 45,64899 Valores: pow data: 1718407163,3349|1,021|0,934|1,167|2,478|6,624|1,162|0,349|1,267|2,486|5,525|0,647|1,212|1,229|2,275|5,93|0,574|0,224|0,496|1,394|2,787|1,447|2,712|6,806|19,595|41,059|0,342|0,075|0,088|0,057|0,148|0,869|0,925|1,521|3,31|7,159|1,433|0,663|1,16|2,661|6,95|0,52|0,349|0,208|0,545|1,505|1,727|0,965|3,614|5,159|12,359|2,97|1,48|1,156|3,121|6,544|3,398|1,588|1,214|1,894|5,39|4,919|3,223|2,226|4,182|7,972|1,947|1,34|1,229|2,908|7,404|
Tiempo: 45,76084 Valores: pow data: 1718407163,46|1,208|1,246|1,443|2,479|6,817|1,286|0,4|1,44|2,518|5,511|0,771|1,463|1,442|2,262|6,13|0,654|0,277|0,578|1,458|2,816|1,526|3,145|7,089|18,685|50,097|0,399|0,094|0,092|0,065|0,162|0,921|1,043|1,768|3,155|7,545|1,45|0,822|1,271|2,519|7,214|0,578|0,383|0,225|0,527|1,588|1,907|1,439|3,799|5,034|12,292|3,383|1,561|1,163|3,16|6,869|2,448|1,524|1,206|1,985|5,734|7,236|5,38|2,807|4,494|8,117|2,062|1,803|1,558|2,933|7,704|
Tiempo: 45,88718 Valores: pow data: 1718407163,5851|1,419|1,59|1,653|2,566|7,055|1,374|0,496|1,573|2,509|5,519|0,877|1,68|1,588|2,289|6,383|0,683|0,342|0,633|1,491|2,878|1,665|3,364|7,792|17,591|59,997|0,404|0,104|0,088|0,071|0,173|0,932|1,143|1,957|2,865|8|1,382|1,059|1,376|2,38|7,553|0,583|0,437|0,24|0,508|1,684|2,149|2,026|3,875|4,722|12,393|3,957|1,739|1,177|3,206|7,194|1,874|1,57|1,162|2,054|6,09|9,81|7,896|3,546|4,747|8,313|2,244|2,426|1,827|3,013|8,091|
Tiempo: 46,01145 Valores: pow data: 1718407163,7104|1,666|1,882|1,765|2,772|7,268|1,416|0,624|1,628|2,495|5,544|0,98|1,822|1,648|2,418|6,631|0,665|0,401|0,653|1,501|2,961|1,916|3,352|9,055|16,817|68,708|0,372|0,101|0,075|0,073|0,179|0,911|1,233|2,106|2,574|8,412|1,216|1,354|1,508|2,373|7,891|0,541|0,498|0,253|0,504|1,776|2,371|2,608|3,883|4,347|12,529|4,738|2,007|1,209|3,365|7,462|1,704|1,734|1,116|2,164|6,381|12,113|10,094|4,2|4,962|8,499|2,537|3,11|1,959|3,187|8,459|
Tiempo: 46,13751 Valores: pow data: 1718407163,8349|1,966|2,029|1,769|3,118|7,369|1,421|0,772|1,581|2,535|5,554|1,115|1,843|1,618|2,699|6,793|0,605|0,436|0,636|1,516|3,037|2,182|3,219|10,614|16,779|73,891|0,302|0,086|0,058|0,072|0,176|0,882|1,303|2,224|2,459|8,634|0,999|1,636|1,674|2,603|8,101|0,574|0,552|0,273|0,535|1,849|2,547|3,043|3,834|4,048|12,481|5,835|2,275|1,223|3,712|7,644|1,816|1,924|1,084|2,396|6,547|13,811|11,318|4,466|5,153|8,605|3,099|3,681|1,914|3,52|8,71|
Tiempo: 46,26311 Valores: pow data: 1718407163,96|2,275|1,979|1,683|3,6|7,304|1,42|0,916|1,445|2,692|5,525|1,278|1,733|1,526|3,154|6,81|0,551|0,441|0,585|1,575|3,08|2,437|3,187|11,945|17,707|73,931|0,218|0,066|0,041|0,068|0,165|0,871|1,343|2,322|2,68|8,565|0,795|1,822|1,862|3,102|8,08|1,033|0,653|0,348|0,631|1,892|2,772|3,242|3,794|3,979|12,109|7,078|2,446|1,199|4,265|7,747|2,021|2,021|1,078|2,808|6,567|14,805|11,202|4,196|5,342|8,596|3,904|3,964|1,733|4,068|8,789|
