Login de power
Tiempo: 27,9159 Valores: pow data: 1716415837,0729|1,967|0,459|0,995|2,543|3,801|4,874|0,472|0,257|1,746|3,501|1,159|0,257|0,617|0,68|1,131|0,641|0,606|1,024|0,868|1,684|0,592|0,902|3,532|9,052|9,129|0,338|1,34|3,103|9,523|10,514|0,862|2,134|2,372|6,323|9,287|0,394|0,34|1,216|2,91|3,5|1,262|0,471|0,231|0,488|0,506|2,206|1,179|3,665|16,784|13,098|0,746|0,769|1,128|1,769|2,138|1,907|0,945|0,696|1,467|1,974|3,361|1,158|1,245|1,662|2,151|2,657|0,544|0,907|1,511|1,457|
Tiempo: 28,02574 Valores: pow data: 1716415837,1981|1,393|0,339|0,962|2,051|3,892|4,559|0,442|0,305|1,637|3,884|1,092|0,282|0,586|0,573|1,201|0,536|0,647|0,931|0,775|1,949|0,525|0,884|3,015|8,838|8,727|0,332|1,142|2,621|9,363|10,429|0,738|2,111|1,999|5,617|9,127|0,274|0,359|1,05|2,459|3,45|0,813|0,306|0,216|0,446|0,485|2,01|1,185|4,042|16,968|12,45|0,523|0,631|1,084|2,006|2,032|1,643|1,188|0,419|1,426|2,103|2,161|1,059|0,979|1,716|2,024|2,103|0,574|0,559|1,376|1,421|
Tiempo: 28,17964 Valores: pow data: 1716415837,3232|1,088|0,343|0,838|1,544|3,791|4,136|0,487|0,352|1,627|4,342|1,198|0,311|0,572|0,487|1,226|0,482|0,679|0,762|0,729|2,27|0,529|0,817|2,491|8,426|8,342|0,313|0,986|2,201|9,308|10,412|0,671|2,042|1,62|5,193|8,942|0,201|0,426|0,927|2,069|3,471|0,484|0,201|0,222|0,391|0,485|2,055|1,21|4,06|16,127|12,041|0,433|0,528|1,08|2,302|1,903|1,585|1,333|0,29|1,358|2,176|1,582|1,115|0,782|1,815|1,896|1,85|0,626|0,346|1,284|1,413|
Tiempo: 28,29012 Valores: pow data: 1716415837,4481|1,01|0,423|0,665|1,175|3,56|3,846|0,549|0,389|1,701|4,727|1,391|0,338|0,565|0,439|1,221|0,489|0,704|0,57|0,724|2,557|0,607|0,717|2,1|7,973|7,947|0,277|0,865|1,904|9,499|10,66|0,598|1,897|1,293|5,08|8,69|0,16|0,495|0,844|1,847|3,489|0,287|0,166|0,243|0,34|0,496|2,274|1,259|3,783|14,421|11,868|0,434|0,442|1,122|2,579|1,796|1,7|1,341|0,261|1,268|2,193|1,491|1,191|0,652|1,999|1,829|1,832|0,669|0,241|1,232|1,444|
Tiempo: 28,40342 Valores: pow data: 1716415837,5733|1,094|0,535|0,547|1,045|3,293|3,86|0,604|0,439|1,831|4,932|1,571|0,362|0,56|0,437|1,214|0,566|0,728|0,406|0,743|2,72|0,767|0,626|1,944|7,58|7,66|0,232|0,792|1,859|9,993|11,344|0,517|1,689|1,162|5,296|8,42|0,144|0,54|0,846|1,841|3,493|0,189|0,181|0,274|0,308|0,506|2,605|1,299|3,567|12,315|11,981|0,492|0,368|1,241|2,749|1,754|1,903|1,229|0,274|1,167|2,171|1,698|1,214|0,639|2,285|1,86|1,97|0,697|0,202|1,198|1,51|
Tiempo: 28,54161 Valores: pow data: 1716415837,6976|1,297|0,667|0,63|1,157|3,07|4,273|0,647|0,558|1,976|4,925|1,683|0,392|0,565|0,471|1,227|0,724|0,749|0,303|0,779|2,706|1,013|0,585|2,049|7,247|7,698|0,192|0,809|2,248|10,629|12,413|0,464|1,456|1,413|5,725|8,196|0,14|0,563|0,99|2,009|3,519|0,137|0,215|0,318|0,299|0,51|2,995|1,307|3,796|10,341|12,67|0,587|0,316|1,487|2,761|1,813|2,089|1,068|0,297|1,077|2,132|2,026|1,199|0,815|2,645|1,989|2,197|0,731|0,194|1,164|1,596|
Tiempo: 28,66714 Valores: pow data: 1716415837,8223|1,592|0,83|0,993|1,421|2,919|5,045|0,697|0,794|2,099|4,726|1,7|0,433|0,581|0,52|1,262|0,972|0,763|0,266|0,82|2,512|1,334|0,604|2,348|6,898|8,277|0,168|0,942|3,164|11,099|13,598|0,486|1,247|2,146|6,147|8,065|0,159|0,58|1,295|2,239|3,622|0,107|0,244|0,38|0,316|0,515|3,355|1,263|4,675|8,817|14,256|0,709|0,292|1,875|2,63|1,965|2,176|0,953|0,318|1,016|2,098|2,395|1,213|1,225|3,023|2,171|2,402|0,802|0,198|1,132|1,682|
Tiempo: 28,79481 Valores: pow data: 1716415837,9463|1,949|1,054|1,582|1,709|2,819|5,786|0,762|1,142|2,166|4,389|1,65|0,492|0,595|0,557|1,306|1,298|0,773|0,284|0,85|2,197|1,685|0,666|2,724|6,486|9,413|0,178|1,19|4,484|11,121|14,548|0,585|1,094|3,275|6,377|8,032|0,234|0,604|1,697|2,405|3,844|0,093|0,258|0,459|0,351|0,531|3,649|1,187|6,041|7,816|16,76|0,861|0,305|2,342|2,397|2,153|2,154|0,967|0,343|0,987|2,083|2,841|1,326|1,832|3,361|2,343|2,546|0,942|0,208|1,108|1,752|
Tiempo: 28,9183 Valores: pow data: 1716415838,0712|2,294|1,347|2,241|1,899|2,716|6,198|0,84|1,541|2,153|3,975|1,57|0,571|0,593|0,571|1,338|1,658|0,79|0,35|0,854|1,853|1,97|0,726|3,076|5,997|10,853|0,223|1,518|5,917|10,554|14,989|0,806|1,006|4,536|6,37|8,057|0,398|0,634|2,088|2,418|4,171|0,089|0,255|0,547|0,392|0,564|3,827|1,114|7,437|7,309|19,747|1,047|0,354|2,772|2,122|2,301|2,089|1,132|0,386|0,985|2,083|3,424|1,556|2,503|3,609|2,44|3,022|1,156|0,233|1,098|1,801|
Tiempo: 29,04365 Valores: pow data: 1716415838,1955|2,604|1,691|2,767|1,942|2,559|5,9|0,927|1,889|2,049|3,528|1,546|0,675|0,567|0,596|1,342|1,969|0,843|0,469|0,827|1,566|2,1|0,721|3,321|5,414|12,211|0,342|1,853|7,136|9,523|14,842|1,174|0,993|5,616|6,179|8,068|0,684|0,649|2,354|2,247|4,528|0,097|0,241|0,627|0,419|0,609|3,872|1,078|8,347|7,247|22,511|1,272|0,435|3,026|1,855|2,359|2,064|1,391|0,463|1,028|2,08|4,514|1,898|3,052|3,737|2,428|3,622|1,432|0,278|1,118|1,83|
