Login de power
Tiempo: 49,02615 Valores: pow data: 1717020002,2604|0,758|0,832|0,404|0,839|0,706|0,829|0,934|1,596|1,638|1,193|1,448|1,175|0,647|1,063|0,905|0,535|0,394|0,568|0,782|0,646|0,391|0,326|0,28|0,327|0,611|0,488|0,315|0,312|0,282|0,403|0,637|0,403|0,466|0,488|0,651|0,616|0,736|0,635|0,668|0,667|3,515|1,393|0,765|0,564|0,598|2,359|1,463|1,225|1,087|1,568|2,498|1,06|0,854|1,218|1,469|2,162|1,055|0,62|1,21|1,051|2,752|1,37|0,902|3,077|5,435|2,102|1,548|0,425|1,954|1,366|
Tiempo: 49,1496 Valores: pow data: 1717020002,3851|0,728|0,942|0,256|0,842|0,702|0,841|1,041|1,572|1,856|0,968|1,567|1,272|0,388|1,081|0,869|0,609|0,483|0,484|0,824|0,588|0,47|0,366|0,291|0,414|0,538|0,38|0,259|0,271|0,271|0,355|0,774|0,431|0,407|0,525|0,594|0,801|0,901|0,562|0,695|0,591|6,205|2,162|1,084|0,767|0,589|2,417|1,881|1,089|1,153|1,554|3,137|1,314|0,828|1,223|1,342|2,224|1,457|0,371|1,155|0,901|3,131|1,677|0,781|2,943|5,283|2,278|1,802|0,27|1,689|1,135|
Tiempo: 49,27802 Valores: pow data: 1717020002,5096|0,793|1,177|0,237|0,812|0,721|1,075|1,255|1,6|1,959|0,838|1,711|1,503|0,282|1,061|0,877|0,717|0,633|0,43|0,822|0,552|0,553|0,42|0,336|0,52|0,501|0,279|0,223|0,236|0,253|0,317|0,877|0,486|0,366|0,543|0,548|0,983|1,178|0,516|0,692|0,559|9,69|3,274|1,621|1,014|0,628|2,442|2,86|1,26|1,348|1,613|3,75|1,778|0,941|1,179|1,258|2,361|2,122|0,354|1,069|0,802|3,501|2,282|1,005|2,94|4,866|2,407|2,226|0,253|1,397|0,967|
Tiempo: 49,40321 Valores: pow data: 1717020002,6341|0,908|1,485|0,31|0,757|0,734|1,346|1,462|1,652|1,955|0,831|1,821|1,793|0,302|1,012|0,894|0,796|0,778|0,4|0,777|0,527|0,626|0,459|0,4|0,631|0,485|0,204|0,2|0,212|0,233|0,29|0,899|0,563|0,369|0,545|0,508|1,145|1,498|0,55|0,66|0,553|13,044|4,367|2,184|1,231|0,688|2,348|4,185|1,734|1,577|1,717|4,186|2,326|1,156|1,074|1,222|2,5|2,858|0,5|0,942|0,749|3,719|2,971|1,478|3,028|4,345|2,464|2,697|0,344|1,116|0,865|
Tiempo: 49,5256 Valores: pow data: 1717020002,7592|1,151|1,814|0,433|0,705|0,716|1,569|1,593|1,713|1,881|0,945|1,984|2,07|0,407|0,964|0,884|0,837|0,869|0,389|0,72|0,502|0,711|0,466|0,459|0,728|0,473|0,163|0,182|0,199|0,216|0,272|0,859|0,64|0,414|0,541|0,473|1,2|1,759|0,678|0,622|0,55|15,204|5,048|2,576|1,362|0,732|2,094|5,42|2,423|1,783|1,814|4,342|2,766|1,394|0,922|1,214|2,643|3,445|0,73|0,814|0,726|3,744|3,509|2,037|3,128|3,874|2,551|3,075|0,522|0,93|0,812|
Tiempo: 49,63786 Valores: pow data: 1717020002,8841|1,632|2,114|0,567|0,69|0,662|1,773|1,616|1,787|1,796|1,155|2,326|2,286|0,56|0,96|0,831|0,86|0,881|0,395|0,69|0,478|0,812|0,448|0,489|0,798|0,458|0,143|0,169|0,194|0,211|0,262|0,81|0,694|0,475|0,544|0,448|1,151|1,875|0,873|0,611|0,544|15,279|5,087|2,667|1,383|0,736|1,716|6,133|3,178|1,955|1,862|4,229|2,932|1,568|0,764|1,212|2,916|3,721|0,98|0,753|0,716|3,653|3,756|2,532|3,184|3,547|2,825|3,247|0,755|0,932|0,785|
Tiempo: 49,77702 Valores: pow data: 1717020003,0088|2,377|2,354|0,684|0,732|0,589|1,939|1,556|1,881|1,764|1,416|2,849|2,445|0,732|1,027|0,748|0,855|0,83|0,413|0,723|0,466|0,961|0,431|0,483|0,836|0,45|0,147|0,161|0,193|0,228|0,264|0,791|0,718|0,522|0,575|0,441|1,019|1,808|1,076|0,649|0,541|13,412|4,493|2,46|1,316|0,703|1,299|6,071|3,816|2,109|1,842|3,933|2,754|1,631|0,638|1,205|3,341|3,636|1,212|0,808|0,711|3,595|3,703|2,87|3,175|3,371|3,344|3,166|1,011|1,149|0,768|
Tiempo: 49,90478 Valores: pow data: 1717020003,1338|3,273|2,516|0,755|0,818|0,521|2,113|1,468|1,983|1,823|1,677|3,537|2,59|0,878|1,156|0,662|0,857|0,759|0,431|0,827|0,479|1,159|0,444|0,453|0,847|0,459|0,171|0,166|0,195|0,278|0,282|0,88|0,724|0,546|0,644|0,46|0,836|1,581|1,221|0,742|0,551|10,097|3,528|2,044|1,21|0,657|0,948|5,279|4,15|2,256|1,769|3,572|2,336|1,582|0,561|1,2|3,895|3,282|1,384|0,962|0,708|3,694|3,493|3,005|3,099|3,289|4,08|2,897|1,244|1,507|0,755|
Tiempo: 50,01255 Valores: pow data: 1717020003,2579|4,104|2,582|0,764|0,915|0,481|2,258|1,413|2,083|1,968|1,892|4,19|2,741|0,954|1,306|0,606|0,85|0,71|0,435|0,98|0,519|1,354|0,5|0,42|0,836|0,492|0,246|0,203|0,2|0,362|0,316|0,975|0,746|0,576|0,749|0,501|0,66|1,266|1,278|0,867|0,586|6,605|2,601|1,565|1,116|0,63|0,754|4,082|4,08|2,385|1,686|3,232|1,91|1,489|0,527|1,208|4,412|2,837|1,477|1,152|0,716|3,904|3,339|2,97|2,973|3,222|4,812|2,562|1,413|1,866|0,753|
Tiempo: 50,15115 Valores: pow data: 1717020003,3822|4,666|2,56|0,734|0,988|0,48|2,353|1,432|2,18|2,16|2,027|4,709|2,897|0,963|1,427|0,599|0,855|0,712|0,427|1,14|0,581|1,645|0,597|0,41|0,804|0,542|0,445|0,299|0,216|0,468|0,359|1,193|0,818|0,645|0,872|0,555|0,538|0,954|1,245|0,992|0,652|3,958|2,048|1,157|1,062|0,644|0,775|2,932|3,646|2,469|1,638|2,989|1,704|1,454|0,511|1,239|4,77|2,485|1,513|1,295|0,739|4,139|3,358|2,863|2,802|3,111|5,345|2,29|1,514|2,091|0,771|
Tiempo: 50,27663 Valores: pow data: 1717020003,5071|4,824|2,475|0,71|1,012|0,508|2,368|1,519|2,272|2,345|2,077|5,001|3,011|0,951|1,477|0,635|0,862|0,758|0,419|1,264|0,648|2,329|0,71|0,437|0,746|0,593|0,919|0,489|0,261|0,57|0,402|1,502|0,979|0,77|0,987|0,609|0,527|0,713|1,164|1,086|0,748|2,767|1,973|0,911|1,051|0,699|1,08|2,181|3,029|2,472|1,644|2,886|1,809|1,574|0,491|1,285|4,924|2,328|1,534|1,328|0,774|4,369|3,551|2,857|2,59|2,928|5,663|2,163|1,571|2,103|0,812|
