Login de power
Tiempo: 84,97562 Valores: pow data: 1717200059,3866|3,573|0,599|0,911|0,177|0,602|1,166|0,698|1,999|0,497|1,146|5,586|1,203|1,02|0,215|0,972|0,701|0,416|0,782|0,298|0,504|1,756|1,923|1,724|1,361|1,777|0,541|0,421|0,248|0,492|0,534|5,549|1,363|0,874|1,024|0,936|1,589|0,426|0,932|0,909|1,256|0,109|0,046|0,034|0,056|0,094|3,379|3,659|1,577|1,513|2,511|0,647|0,197|0,391|0,348|0,695|4,113|0,542|0,727|0,283|0,937|1,721|0,999|1,488|4,335|3,599|5,767|0,528|1,018|0,396|1,163|
Tiempo: 85,08543 Valores: pow data: 1717200059,5116|3,116|0,575|0,854|0,192|0,572|1,126|0,678|1,861|0,48|1,177|4,87|1,106|0,904|0,267|0,933|0,615|0,483|0,732|0,305|0,513|1,481|1,776|1,809|1,461|1,504|0,344|0,282|0,163|0,529|0,514|5,706|1,78|0,932|1,256|1,006|1,343|0,37|0,948|1,166|1,28|0,102|0,045|0,032|0,067|0,087|3,264|3,505|1,556|1,76|2,587|0,63|0,196|0,359|0,321|0,665|3,668|0,533|0,61|0,331|0,908|1,69|1,016|1,205|4,279|3,566|4,882|0,579|0,843|0,442|1,112|
Tiempo: 85,22366 Valores: pow data: 1717200059,6364|2,656|0,601|0,769|0,219|0,531|1,202|0,68|1,611|0,507|1,18|4,073|1,105|0,791|0,337|0,853|0,57|0,539|0,638|0,338|0,529|1,336|1,554|1,856|1,466|1,271|0,275|0,199|0,13|0,569|0,522|6,281|2,249|1,039|1,468|1,085|1,267|0,336|0,94|1,364|1,305|0,096|0,046|0,032|0,074|0,079|2,917|3,033|1,475|2,028|2,6|0,635|0,192|0,305|0,327|0,622|3,114|0,572|0,509|0,384|0,85|1,816|1,031|0,969|4,255|3,392|3,986|0,713|0,673|0,512|1,022|
Tiempo: 85,34936 Valores: pow data: 1717200059,7615|2,302|0,67|0,711|0,254|0,478|1,36|0,72|1,357|0,565|1,14|3,382|1,229|0,755|0,421|0,741|0,57|0,581|0,551|0,395|0,539|1,418|1,366|1,906|1,384|1,128|0,27|0,163|0,128|0,596|0,556|6,889|2,601|1,145|1,583|1,152|1,319|0,322|0,885|1,452|1,32|0,088|0,05|0,033|0,075|0,07|2,403|2,406|1,373|2,28|2,567|0,65|0,196|0,254|0,357|0,57|2,593|0,693|0,488|0,437|0,768|2,032|1,085|0,842|4,229|3,103|3,31|0,945|0,587|0,594|0,917|
Tiempo: 85,4738 Valores: pow data: 1717200059,8865|2,068|0,757|0,706|0,286|0,416|1,543|0,802|1,179|0,629|1,067|2,848|1,445|0,825|0,504|0,616|0,595|0,612|0,509|0,463|0,535|1,674|1,304|1,968|1,254|1,083|0,296|0,161|0,135|0,593|0,601|7,06|2,68|1,185|1,557|1,188|1,49|0,327|0,796|1,422|1,319|0,078|0,054|0,036|0,071|0,062|1,85|1,829|1,283|2,499|2,526|0,655|0,212|0,225|0,4|0,517|2,181|0,906|0,573|0,487|0,675|2,271|1,194|0,834|4,154|2,746|2,926|1,255|0,601|0,665|0,83|
Tiempo: 85,59918 Valores: pow data: 1717200060,0114|1,897|0,831|0,742|0,305|0,361|1,684|0,916|1,089|0,68|0,999|2,425|1,682|0,974|0,567|0,505|0,619|0,637|0,519|0,524|0,519|1,964|1,394|2,023|1,124|1,098|0,326|0,185|0,142|0,557|0,64|6,588|2,428|1,123|1,402|1,179|1,768|0,343|0,69|1,306|1,302|0,071|0,056|0,039|0,065|0,058|1,417|1,472|1,225|2,669|2,506|0,632|0,239|0,222|0,448|0,47|1,88|1,183|0,741|0,541|0,588|2,466|1,339|0,915|4,016|2,381|2,751|1,601|0,685|0,711|0,785|
Tiempo: 85,72578 Valores: pow data: 1717200060,1363|1,737|0,874|0,775|0,306|0,325|1,759|1,039|1,046|0,715|0,971|2,073|1,875|1,132|0,599|0,43|0,636|0,66|0,561|0,562|0,501|2,139|1,583|2,018|1,033|1,119|0,358|0,231|0,149|0,504|0,658|5,414|1,922|0,973|1,18|1,121|2,087|0,363|0,582|1,156|1,265|0,067|0,057|0,046|0,059|0,058|1,215|1,396|1,184|2,753|2,502|0,584|0,271|0,233|0,501|0,436|1,671|1,465|0,94|0,607|0,52|2,607|1,476|1,037|3,879|2,06|2,67|1,919|0,78|0,734|0,789|
Tiempo: 85,85027 Valores: pow data: 1717200060,2613|1,595|0,889|0,763|0,292|0,319|1,78|1,138|0,983|0,744|0,993|1,815|1,981|1,221|0,602|0,399|0,654|0,687|0,599|0,57|0,491|2,139|1,788|1,91|1,006|1,1|0,392|0,288|0,153|0,451|0,646|4,035|1,332|0,785|0,964|1,021|2,372|0,378|0,481|1,017|1,206|0,07|0,057|0,057|0,058|0,062|1,256|1,518|1,141|2,72|2,477|0,537|0,3|0,245|0,552|0,417|1,559|1,673|1,114|0,687|0,476|2,737|1,551|1,128|3,847|1,828|2,655|2,147|0,839|0,749|0,828|
Tiempo: 85,96177 Valores: pow data: 1717200060,386|1,51|0,889|0,689|0,279|0,34|1,77|1,193|0,864|0,787|1,047|1,701|1,991|1,203|0,595|0,407|0,68|0,723|0,603|0,555|0,495|2,025|1,905|1,703|1,054|1,041|0,417|0,337|0,149|0,415|0,607|2,799|0,821|0,622|0,803|0,897|2,548|0,384|0,393|0,907|1,125|0,08|0,057|0,07|0,062|0,067|1,476|1,685|1,088|2,563|2,397|0,524|0,317|0,244|0,6|0,412|1,562|1,738|1,222|0,779|0,457|2,915|1,516|1,136|3,995|1,711|2,733|2,239|0,843|0,781|0,877|
Tiempo: 86,10181 Valores: pow data: 1717200060,5107|1,493|0,887|0,569|0,289|0,384|1,726|1,188|0,715|0,867|1,103|1,766|1,9|1,088|0,607|0,448|0,706|0,764|0,567|0,537|0,507|1,934|1,894|1,455|1,162|0,987|0,442|0,361|0,136|0,399|0,549|2,048|0,493|0,534|0,704|0,772|2,539|0,391|0,328|0,817|1,036|0,097|0,057|0,084|0,071|0,072|1,782|1,777|1,059|2,318|2,271|0,555|0,316|0,229|0,638|0,413|1,676|1,64|1,244|0,879|0,461|3,104|1,366|1,051|4,31|1,715|2,911|2,182|0,801|0,853|0,916|
