Login de power
Tiempo: 29,63117 Valores: pow data: 1717025731,8931|2,256|0,37|0,631|0,469|0,694|1,804|0,725|1,466|1,755|1,65|1,864|0,34|0,455|0,461|0,563|1,961|0,456|0,811|0,594|0,608|2,777|0,816|0,42|0,299|0,289|1,504|0,781|0,336|0,427|0,333|1,793|0,837|0,372|0,504|0,54|1,399|0,702|0,427|0,394|0,592|9,46|4,02|3,034|3,191|5,384|2,171|0,938|1,018|0,556|0,625|18,365|6,235|4,74|3,956|6,899|47,28|12,417|7,847|6,69|10,33|3,393|1,129|1,116|1,091|1,418|3,592|0,846|0,848|0,692|1,117|
Tiempo: 29,74327 Valores: pow data: 1717025732,0186|1,964|0,344|0,696|0,606|0,704|1,588|0,711|1,296|1,641|1,49|1,747|0,272|0,546|0,572|0,591|2,217|0,486|0,789|0,586|0,601|3,171|0,878|0,489|0,29|0,285|1,826|0,767|0,435|0,434|0,327|2,127|0,794|0,472|0,525|0,489|1,156|0,589|0,469|0,403|0,598|10,838|3,75|3,132|3,49|5,385|2,11|0,811|0,996|0,59|0,584|21,212|6,097|4,7|4,299|7,018|54,278|12,335|7,934|7,382|10,374|3,255|1,013|1,259|1,185|1,465|3,366|0,808|0,903|0,755|0,962|
Tiempo: 29,87078 Valores: pow data: 1717025732,1437|1,713|0,406|0,838|0,856|0,768|1,81|0,861|1,175|1,639|1,352|1,751|0,248|0,664|0,761|0,659|2,456|0,558|0,782|0,632|0,612|3,345|0,875|0,553|0,295|0,283|2,042|0,724|0,571|0,444|0,312|2,29|0,734|0,571|0,559|0,443|1,152|0,493|0,533|0,438|0,594|12,139|3,644|3,441|4,148|5,449|2,04|0,685|0,946|0,669|0,554|24,04|6,23|4,961|5,159|7,235|61,916|12,937|8,598|8,85|10,537|3,255|0,942|1,444|1,289|1,483|3,214|0,796|0,983|0,946|0,924|
Tiempo: 29,99934 Valores: pow data: 1717025732,269|1,534|0,554|1,012|1,203|0,856|2,01|1,012|1,078|1,701|1,25|1,723|0,269|0,775|1,018|0,726|2,576|0,632|0,774|0,737|0,638|3,278|0,792|0,605|0,315|0,275|2,148|0,655|0,723|0,46|0,291|2,276|0,653|0,653|0,607|0,408|1,374|0,431|0,621|0,511|0,578|13,207|3,72|4,06|5,198|5,459|1,94|0,584|0,888|0,774|0,532|26,524|6,639|5,682|6,568|7,37|69,196|14,369|10,156|11,152|10,587|3,266|0,901|1,616|1,389|1,449|2,998|0,8|1,075|1,271|0,985|
Tiempo: 30,12277 Valores: pow data: 1717025732,3945|1,417|0,76|1,172|1,583|0,925|2,202|1,08|0,999|1,758|1,192|1,606|0,33|0,859|1,303|0,768|2,502|0,659|0,757|0,882|0,667|2,986|0,643|0,63|0,344|0,258|2,083|0,576|0,852|0,486|0,268|2,035|0,557|0,697|0,665|0,386|1,756|0,403|0,727|0,62|0,55|14,075|3,912|4,929|6,492|5,322|1,881|0,522|0,855|0,877|0,516|28,825|7,184|6,81|8,313|7,277|76,783|16,347|12,539|13,983|10,361|3,243|0,864|1,753|1,458|1,35|2,706|0,798|1,163|1,683|1,086|
Tiempo: 30,23485 Valores: pow data: 1717025732,5196|1,338|0,97|1,284|1,91|0,943|2,174|1,033|0,934|1,746|1,182|1,357|0,411|0,918|1,556|0,773|2,226|0,616|0,735|1,035|0,683|2,542|0,47|0,615|0,374|0,233|1,938|0,506|0,92|0,518|0,246|1,659|0,465|0,692|0,721|0,376|2,179|0,393|0,837|0,75|0,512|14,791|4,069|5,869|7,762|5,036|1,687|0,488|0,872|0,947|0,51|30,944|7,616|8,099|10,056|6,945|83,977|18,156|15,276|16,833|9,883|3,059|0,809|1,838|1,479|1,199|2,311|0,81|1,262|2,103|1,183|
Tiempo: 30,37465 Valores: pow data: 1717025732,6449|1,336|1,151|1,33|2,111|0,896|2,038|0,899|0,868|1,635|1,209|1,104|0,512|0,964|1,718|0,744|1,899|0,521|0,727|1,158|0,673|2,108|0,325|0,556|0,397|0,208|1,711|0,46|0,899|0,55|0,223|1,331|0,396|0,637|0,762|0,375|2,537|0,396|0,931|0,877|0,471|15,624|4,131|6,615|8,728|4,681|1,512|0,464|0,941|0,971|0,519|33,097|7,823|9,159|11,458|6,481|91,252|19,256|17,575|19,176|9,322|2,882|0,754|1,852|1,453|1,032|2,037|0,911|1,38|2,457|1,264|
Tiempo: 30,48542 Valores: pow data: 1717025732,7703|1,463|1,3|1,323|2,148|0,799|1,832|0,752|0,808|1,436|1,246|0,989|0,645|1,01|1,756|0,69|1,668|0,423|0,759|1,222|0,637|1,775|0,249|0,463|0,41|0,189|1,522|0,439|0,794|0,568|0,201|1,108|0,367|0,547|0,776|0,375|2,787|0,421|0,996|0,971|0,431|16,832|4,169|6,994|9,179|4,343|1,407|0,443|1,04|0,947|0,545|35,221|7,866|9,73|12,262|6,002|97,558|19,539|18,854|20,588|8,815|3,054|0,742|1,782|1,4|0,892|2,221|1,171|1,527|2,71|1,346|
Tiempo: 30,56908 Valores: pow data: 1717025732,8944|1,752|1,432|1,275|2,026|0,676|1,692|0,67|0,761|1,2|1,268|1,137|0,821|1,045|1,665|0,626|1,651|0,379|0,823|1,214|0,579|1,633|0,251|0,354|0,409|0,176|1,355|0,431|0,64|0,567|0,181|1,065|0,375|0,45|0,759|0,369|3,017|0,485|1,019|1,008|0,389|18,357|4,328|6,894|9,017|4,044|1,489|0,422|1,125|0,884|0,577|36,967|7,903|9,648|12,318|5,546|101,676|19,196|18,724|20,79|8,359|3,836|0,81|1,623|1,345|0,802|3,057|1,6|1,686|2,852|1,441|
Tiempo: 30,70854 Valores: pow data: 1717025733,0183|2,151|1,566|1,188|1,791|0,559|1,733|0,711|0,738|0,991|1,257|1,555|1,032|1,039|1,476|0,563|1,85|0,429|0,882|1,144|0,509|1,595|0,301|0,252|0,399|0,168|1,264|0,423|0,476|0,554|0,169|1,171|0,405|0,368|0,716|0,356|3,22|0,608|0,986|0,985|0,347|19,865|4,839|6,295|8,312|3,745|1,7|0,413|1,155|0,795|0,599|37,788|8,233|8,873|11,642|5,072|101,832|18,982|17,114|19,769|7,828|5,248|0,969|1,381|1,302|0,764|4,481|2,129|1,817|2,892|1,542|
