Login de power
Tiempo: 26,88138 Valores: pow data: 1716417468,3778|1,396|0,754|0,546|0,29|0,13|1,406|0,533|0,903|0,326|0,173|0,361|0,335|0,427|0,192|0,177|0,321|0,314|0,405|0,173|0,156|0,817|0,555|1,093|0,686|0,555|0,162|0,242|0,357|0,265|0,193|0,412|1,904|2,237|1,3|1,765|0,818|0,472|0,931|0,396|0,459|0,742|0,242|0,367|0,263|0,413|2,476|1,547|1,779|3,819|3,404|0,882|0,637|0,778|0,798|0,9|0,48|0,121|0,48|0,349|0,133|1,249|0,716|1,629|0,917|0,677|1,563|0,139|0,587|0,423|0,106|
Tiempo: 27,02048 Valores: pow data: 1716417468,5018|1,032|0,632|0,523|0,259|0,125|1,256|0,395|1,001|0,308|0,178|0,412|0,45|0,503|0,192|0,172|0,291|0,272|0,469|0,189|0,157|0,935|0,638|1,222|0,639|0,598|0,174|0,257|0,32|0,234|0,24|0,542|1,728|2,696|1,431|2,141|0,601|0,415|0,873|0,384|0,496|0,734|0,194|0,404|0,262|0,416|2,348|1,381|1,647|3,922|3,371|0,957|0,617|0,87|0,779|0,877|0,504|0,135|0,56|0,308|0,144|1,077|0,722|1,809|0,858|0,642|1,436|0,133|0,647|0,405|0,12|
Tiempo: 27,1321 Valores: pow data: 1716417468,6265|0,74|0,543|0,531|0,235|0,131|1,124|0,312|1,04|0,284|0,195|0,492|0,626|0,578|0,201|0,178|0,307|0,282|0,519|0,209|0,169|1,118|0,758|1,28|0,603|0,687|0,181|0,252|0,285|0,213|0,327|0,809|1,56|3,204|1,673|2,838|0,484|0,342|0,875|0,394|0,559|0,642|0,173|0,455|0,261|0,454|2,182|1,282|1,811|3,952|3,693|1,002|0,605|0,975|0,851|0,884|0,619|0,169|0,636|0,27|0,163|0,981|0,699|1,926|0,858|0,676|1,283|0,168|0,722|0,376|0,152|
Tiempo: 27,24395 Valores: pow data: 1716417468,7506|0,576|0,474|0,564|0,233|0,153|1,03|0,272|0,998|0,262|0,227|0,582|0,807|0,654|0,217|0,199|0,356|0,321|0,534|0,225|0,192|1,342|0,884|1,265|0,584|0,804|0,194|0,227|0,26|0,209|0,45|1,205|1,397|3,711|2,045|3,841|0,441|0,277|0,953|0,43|0,634|0,497|0,171|0,545|0,264|0,516|2,095|1,227|2,434|4,022|4,283|1,051|0,593|1,104|0,986|0,926|0,8|0,21|0,721|0,239|0,192|1,036|0,637|2,02|0,925|0,775|1,114|0,236|0,847|0,355|0,2|
Tiempo: 27,38481 Valores: pow data: 1716417468,8753|0,507|0,413|0,612|0,251|0,191|1,013|0,264|0,882|0,248|0,27|0,668|0,927|0,735|0,235|0,238|0,419|0,364|0,508|0,233|0,22|1,585|0,985|1,185|0,582|0,911|0,213|0,189|0,247|0,225|0,591|1,683|1,235|4,139|2,54|5,017|0,463|0,236|1,092|0,489|0,707|0,349|0,18|0,693|0,276|0,587|2,218|1,188|3,543|4,191|4,995|1,094|0,578|1,263|1,124|1,002|1,016|0,246|0,832|0,218|0,231|1,269|0,555|2,145|1,034|0,919|0,947|0,313|1,04|0,353|0,26|
Tiempo: 27,51079 Valores: pow data: 1716417468,9992|0,506|0,37|0,656|0,28|0,243|1,079|0,286|0,727|0,246|0,32|0,775|0,952|0,821|0,249|0,294|0,477|0,39|0,45|0,231|0,249|1,841|1,037|1,053|0,59|0,971|0,248|0,156|0,249|0,253|0,719|2,126|1,078|4,393|3,121|6,144|0,518|0,226|1,251|0,558|0,764|0,251|0,199|0,892|0,298|0,648|2,579|1,145|4,942|4,466|5,666|1,14|0,561|1,445|1,207|1,11|1,227|0,269|0,976|0,204|0,276|1,604|0,494|2,315|1,134|1,087|0,814|0,381|1,284|0,368|0,325|
Tiempo: 27,62727 Valores: pow data: 1716417469,1244|0,521|0,35|0,683|0,305|0,302|1,235|0,328|0,581|0,258|0,366|0,946|0,875|0,899|0,255|0,365|0,517|0,395|0,381|0,225|0,276|2,116|1,035|0,885|0,593|0,962|0,305|0,141|0,256|0,285|0,803|2,454|0,953|4,38|3,723|6,991|0,598|0,242|1,369|0,619|0,794|0,219|0,234|1,094|0,325|0,687|3,064|1,125|6,264|4,776|6,139|1,139|0,55|1,625|1,208|1,243|1,41|0,273|1,133|0,198|0,317|1,912|0,492|2,496|1,175|1,257|0,767|0,429|1,515|0,387|0,385|
Tiempo: 27,76158 Valores: pow data: 1716417469,2493|0,547|0,351|0,683|0,313|0,358|1,444|0,374|0,47|0,289|0,398|1,193|0,73|0,946|0,252|0,44|0,52|0,383|0,323|0,221|0,295|2,381|0,985|0,707|0,584|0,894|0,364|0,154|0,262|0,308|0,823|2,618|0,875|4,067|4,291|7,427|0,703|0,274|1,396|0,658|0,801|0,239|0,286|1,236|0,345|0,704|3,47|1,16|7,079|5,022|6,29|1,067|0,553|1,781|1,139|1,386|1,54|0,266|1,259|0,198|0,35|2,106|0,581|2,623|1,138|1,413|0,828|0,456|1,65|0,396|0,434|
Tiempo: 27,87347 Valores: pow data: 1716417469,374|0,614|0,371|0,659|0,304|0,403|1,648|0,403|0,396|0,338|0,409|1,532|0,576|0,938|0,242|0,508|0,491|0,363|0,286|0,223|0,304|2,601|0,905|0,554|0,578|0,8|0,426|0,187|0,261|0,314|0,78|2,619|0,85|3,528|4,778|7,475|0,787|0,307|1,31|0,668|0,794|0,283|0,344|1,263|0,351|0,708|3,617|1,26|7,08|5,121|6,082|0,968|0,567|1,898|1,044|1,514|1,608|0,261|1,311|0,202|0,371|2,202|0,767|2,639|1,046|1,54|1,054|0,471|1,637|0,39|0,468|
Tiempo: 27,99852 Valores: pow data: 1716417469,4984|0,718|0,413|0,623|0,287|0,428|1,789|0,412|0,343|0,401|0,396|1,892|0,468|0,865|0,231|0,555|0,427|0,345|0,269|0,232|0,302|2,701|0,811|0,469|0,597|0,728|0,451|0,229|0,25|0,303|0,698|2,536|0,877|2,922|5,15|7,286|0,9|0,333|1,122|0,651|0,787|0,318|0,388|1,16|0,341|0,714|3,443|1,406|6,243|5,03|5,576|0,928|0,587|1,98|0,977|1,618|1,606|0,271|1,267|0,211|0,383|2,35|1,033|2,545|0,957|1,637|1,367|0,485|1,476|0,382|0,486|
