Login de power
Tiempo: 52,5649 Valores: pow data: 1718409661,6084|0,352|0,516|0,246|0,235|0,201|0,899|0,802|0,87|1,867|0,951|0,256|0,2|0,068|0,117|0,118|0,62|0,388|0,342|1,187|0,654|1,552|0,46|0,957|2,316|2,778|2,777|4,009|1,411|4,375|3,477|0,907|0,903|0,559|1,258|0,58|0,752|0,641|0,525|1,104|0,516|1,554|2,79|1,491|3,654|3,092|1,126|0,92|3,158|4,601|4,599|0,92|1,529|0,885|1,683|1,097|0,7|0,701|0,485|0,671|0,288|1,112|1,24|1,347|1,656|1,33|1,042|0,984|0,531|0,381|0,379|
Tiempo: 52,70562 Valores: pow data: 1718409661,7325|0,35|0,548|0,243|0,268|0,181|0,715|0,821|0,927|1,778|0,974|0,243|0,197|0,072|0,12|0,127|0,607|0,454|0,338|1,08|0,621|1,402|0,478|1,101|2,434|2,722|2,55|3,754|1,298|4,154|3,253|0,864|0,856|0,537|1,157|0,493|0,677|0,612|0,491|1,049|0,417|1,495|2,498|1,514|3,361|2,455|1,075|0,679|2,581|5,124|4,9|0,847|1,322|0,838|1,907|1,103|0,663|0,565|0,483|0,681|0,278|1,088|1,088|1,525|1,702|1,39|0,997|0,874|0,556|0,416|0,371|
Tiempo: 52,83094 Valores: pow data: 1718409661,8566|0,414|0,598|0,255|0,316|0,179|0,576|0,862|0,994|1,629|1,032|0,263|0,204|0,082|0,13|0,142|0,63|0,516|0,384|0,954|0,612|1,193|0,471|1,329|2,504|2,738|2,169|3,262|1,273|3,976|3,212|0,849|0,776|0,509|1,079|0,447|0,642|0,59|0,449|0,998|0,344|1,561|2,164|1,557|2,95|1,956|1,007|0,621|1,999|5,709|5,408|0,759|1,086|0,906|2,197|1,232|0,651|0,454|0,473|0,71|0,295|1,046|0,971|1,728|1,779|1,56|0,917|0,812|0,604|0,506|0,383|
Tiempo: 52,97055 Valores: pow data: 1718409661,9811|0,541|0,655|0,279|0,369|0,194|0,536|0,934|1,03|1,448|1,111|0,296|0,228|0,099|0,141|0,159|0,698|0,56|0,479|0,838|0,623|0,983|0,431|1,564|2,554|2,831|1,752|2,676|1,515|3,878|3,56|0,926|0,708|0,491|1,019|0,445|0,706|0,594|0,428|0,951|0,303|1,753|1,835|1,707|2,532|1,687|0,985|0,7|1,575|6,161|5,916|0,688|0,872|1,067|2,466|1,426|0,628|0,377|0,471|0,736|0,327|1,007|0,917|1,91|1,855|1,75|0,836|0,807|0,668|0,633|0,407|
Tiempo: 53,0827 Valores: pow data: 1718409662,1059|0,748|0,704|0,315|0,425|0,218|0,645|1,094|1,021|1,256|1,207|0,348|0,263|0,121|0,153|0,175|0,797|0,586|0,597|0,746|0,64|0,863|0,375|1,726|2,656|3,024|1,628|2,209|2,279|4,018|4,537|1,302|0,74|0,533|0,976|0,484|1,022|0,671|0,469|0,917|0,3|2,29|1,614|2,078|2,369|1,75|1,101|0,849|1,441|6,409|6,275|0,677|0,734|1,249|2,623|1,622|0,616|0,339|0,49|0,756|0,372|1,06|0,931|2,017|1,897|1,902|0,827|0,841|0,726|0,784|0,431|
Tiempo: 53,2077 Valores: pow data: 1718409662,23|1,035|0,726|0,356|0,493|0,253|0,924|1,413|0,972|1,077|1,319|0,403|0,299|0,143|0,175|0,191|0,949|0,6|0,695|0,675|0,646|0,873|0,325|1,764|2,879|3,323|2,027|2,123|3,674|4,835|6,337|2,118|0,926|0,652|0,977|0,562|1,718|0,843|0,583|0,92|0,336|3,441|1,591|2,702|2,788|2,279|1,553|0,998|1,685|6,624|6,524|0,726|0,712|1,378|2,627|1,768|0,604|0,335|0,528|0,8|0,434|1,229|0,985|2,006|1,909|2,001|0,912|0,877|0,749|0,961|0,457|
Tiempo: 53,33284 Valores: pow data: 1718409662,3548|1,316|0,713|0,4|0,579|0,3|1,322|1,911|0,92|0,952|1,454|0,446|0,322|0,166|0,22|0,21|1,113|0,622|0,739|0,624|0,649|1,011|0,302|1,685|3,262|3,767|3,096|2,673|5,623|6,952|9,33|3,405|1,271|0,833|1,097|0,714|2,824|1,108|0,748|1,014|0,435|5,239|1,798|3,499|4,069|3,534|2,55|1,13|2,292|7,072|6,898|0,817|0,814|1,417|2,516|1,849|0,616|0,37|0,578|0,916|0,535|1,547|1,042|1,888|1,937|2,069|1,065|0,875|0,726|1,172|0,496|
Tiempo: 53,46021 Valores: pow data: 1718409662,4803|1,558|0,667|0,456|0,681|0,363|1,725|2,508|0,909|0,929|1,634|0,459|0,326|0,193|0,294|0,236|1,235|0,675|0,722|0,601|0,678|1,332|0,341|1,535|3,759|4,472|4,784|3,921|8,166|10,937|14,074|5,013|1,721|1,1|1,423|1,007|4,238|1,438|0,972|1,253|0,641|7,467|2,181|4,587|6,38|5,891|4,513|1,262|3,138|7,931|7,698|0,929|1,028|1,385|2,4|1,888|0,679|0,464|0,66|1,152|0,703|1,953|1,081|1,728|2,06|2,157|1,236|0,824|0,682|1,416|0,563|
Tiempo: 53,58759 Valores: pow data: 1718409662,6052|1,695|0,611|0,538|0,788|0,437|2,069|3,05|0,973|1,038|1,876|0,456|0,319|0,236|0,389|0,27|1,315|0,783|0,666|0,608|0,761|1,766|0,468|1,38|4,299|5,628|6,81|5,787|11,542|17,164|21,052|6,622|2,179|1,478|2,006|1,507|5,7|1,768|1,263|1,658|0,995|9,58|2,617|6,374|9,985|9,735|7,498|1,412|4,065|9,22|9,107|1,077|1,318|1,326|2,393|1,922|0,852|0,642|0,828|1,523|0,952|2,418|1,104|1,62|2,346|2,307|1,412|0,745|0,668|1,673|0,665|
Tiempo: 53,72655 Valores: pow data: 1718409662,7308|1,807|0,564|0,643|0,882|0,511|2,353|3,366|1,132|1,264|2,18|0,47|0,312|0,296|0,488|0,305|1,472|0,939|0,601|0,639|0,907|2,384|0,703|1,274|4,823|7,389|8,81|7,979|15,759|25,58|30,263|7,867|2,524|1,962|2,817|2,237|6,948|2,014|1,614|2,197|1,512|11,214|2,932|9,185|15,173|15,127|11,799|1,648|4,912|10,804|11,053|1,362|1,619|1,279|2,536|1,969|1,3|0,892|1,105|1,997|1,267|2,951|1,12|1,614|2,783|2,516|1,666|0,672|0,723|1,897|0,791|
Tiempo: 53,85337 Valores: pow data: 1718409662,8563|1,957|0,546|0,756|0,948|0,571|2,673|3,36|1,377|1,552|2,518|0,569|0,317|0,369|0,568|0,336|1,835|1,116|0,562|0,68|1,096|3,093|1,042|1,216|5,307|9,71|10,437|10,088|20,363|35,463|40,879|8,509|2,667|2,499|3,746|3,14|7,773|2,105|1,988|2,784|2,148|12,117|2,998|12,778|21,881|21,547|16,817|2,019|5,68|12,404|13,236|1,934|1,866|1,262|2,78|2,021|2,199|1,172|1,469|2,495|1,602|3,645|1,147|1,686|3,273|2,735|2,128|0,64|0,848|2,036|0,915|
Tiempo: 53,97988 Valores: pow data: 1718409662,9818|2,184|0,568|0,856|0,979|0,609|3,064|3,051|1,694|1,835|2,829|0,769|0,339|0,445|0,613|0,357|2,501|1,266|0,572|0,725|1,28|3,831|1,439|1,164|5,765|12,268|11,339|11,734|24,431|45,369|51,4|8,514|2,567|2,982|4,615|4,09|8,129|2|2,309|3,3|2,809|12,436|2,815|16,382|29,325|28,036|21,902|2,453|6,705|13,682|15,32|2,857|2,002|1,276|3,001|2,055|3,571|1,41|1,858|2,903|1,902|4,511|1,182|1,773|3,653|2,899|2,81|0,667|1,01|2,048|1,013|
Tiempo: 54,10242 Valores: pow data: 1718409663,1073|2,452|0,622|0,925|0,98|0,628|3,539|2,565|2,044|2,049|3,04|1,046|0,371|0,509|0,618|0,374|3,337|1,348|0,634|0,77|1,408|4,452|1,806|1,081|6,24|14,522|11,463|12,732|26,818|53,254|60,178|8,049|2,259|3,282|5,221|4,934|8,049|1,726|2,499|3,625|3,39|12,353|2,535|19,448|36,065|33,562|25,751|2,856|8,479|14,459|17,125|3,989|1,999|1,327|3,086|2,068|5,167|1,541|2,182|3,117|2,139|5,438|1,2|1,811|3,801|2,976|3,605|0,739|1,156|1,929|1,081|
Tiempo: 54,24176 Valores: pow data: 1718409663,233|2,635|0,689|0,946|0,966|0,644|3,947|2,057|2,368|2,167|3,09|1,318|0,402|0,549|0,596|0,396|4,174|1,345|0,719|0,821|1,449|4,856|2,054|0,977|6,803|15,905|11,052|13,039|26,674|57,362|66,028|7,383|1,832|3,306|5,419|5,559|7,674|1,358|2,509|3,688|3,817|12,273|2,39|21,838|40,765|37,685|27,734|3,138|11,244|14,824|18,725|5,087|1,88|1,452|2,992|2,114|6,591|1,543|2,363|3,094|2,314|6,216|1,181|1,789|3,696|3,001|4,259|0,828|1,244|1,717|1,136|
Tiempo: 54,35518 Valores: pow data: 1718409663,3585|2,605|0,737|0,916|0,951|0,668|4,091|1,637|2,603|2,208|2,964|1,468|0,42|0,557|0,566|0,431|4,617|1,255|0,791|0,875|1,408|4,944|2,121|0,881|7,503|16,073|10,475|12,789|23,869|56,842|68,434|6,722|1,392|3,034|5,182|5,922|7,106|1,001|2,342|3,497|4,07|12,384|2,627|23,652|42,559|40,865|27,214|3,244|14,704|14,996|20,35|5,806|1,714|1,705|2,761|2,291|7,388|1,444|2,37|2,865|2,442|6,536|1,136|1,765|3,419|3,057|4,514|0,916|1,262|1,474|1,203|
Tiempo: 54,48111 Valores: pow data: 1718409663,484|2,326|0,742|0,843|0,941|0,702|3,882|1,332|2,704|2,209|2,719|1,46|0,419|0,538|0,548|0,478|4,562|1,104|0,83|0,923|1,321|4,684|2,006|0,843|8,328|15,108|10,035|12,227|19,314|52,225|67,59|6,105|1,042|2,545|4,616|6,041|6,411|0,745|2,053|3,135|4,182|12,612|3,328|25,016|41,416|44,129|24,683|3,172|17,989|15,143|22,167|5,978|1,571|2,103|2,487|2,661|7,358|1,311|2,226|2,527|2,531|6,315|1,104|1,797|3,098|3,21|4,274|0,992|1,23|1,265|1,284|
Tiempo: 54,61924 Valores: pow data: 1718409663,6096|1,848|0,693|0,743|0,938|0,737|3,32|1,104|2,669|2,188|2,471|1,291|0,4|0,504|0,549|0,522|3,957|0,932|0,836|0,944|1,24|4,124|1,759|0,883|9,16|13,528|9,772|11,496|14,755|45,213|64,414|5,465|0,856|1,985|3,921|5,97|5,619|0,653|1,728|2,738|4,201|12,623|4,404|25,802|38,282|48,48|20,723|2,969|20,063|15,309|24,167|5,598|1,476|2,592|2,268|3,188|6,57|1,211|1,985|2,215|2,576|5,611|1,123|1,893|2,85|3,466|3,61|1,047|1,176|1,141|1,364|
